work_id,mp_id,state,district,ia_id,category,sanctioned_amount,status,cost_anomaly_score,cost_anomaly_reason,dup_score,dup_reason,structuring_score,structuring_reason,execution_risk_score,execution_risk_reason,image_forensics_score,image_forensics_reason,network_score,network_reason,rule_score,rule_reason,corroboration_count,composite_risk_score,risk_tier,delay_risk_score,delay_tier,risk_explanation
W01161,MP010,Bihar,Gaya,IA036,Street Lighting (per 50 units),5530485.64,Completed,1.0,"cost is 16.0x the typical spread for 'Street Lighting (per 50 units)' works in Bihar (peer-group check); ML model predicted ~₹2,492,604 for a work of this type/scale/location, actual sanctioned amount is ₹5,530,486 (122% above prediction)",0.0,,0.0,,0.0,,0.06367755403544283,,0.0,,0.5,[R1] sanctioned amount deviates 202% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 16.0x the typical spread for 'Street Lighting (per 50 units)' works in Bihar (peer-group check); ML model predicted ~₹2,492,604 for a work of this type/scale/location, actual sanctioned amount is ₹5,530,486 (122% above prediction) || [R1] sanctioned amount deviates 202% from MP-recommended amount without documented justification; "
W00134,MP015,West Bengal,Malda,IA051,Health Sub-Centre Upgrade,6260359.22,Completed,1.0,"cost is 15.4x the typical spread for 'Health Sub-Centre Upgrade' works in West Bengal (peer-group check); ML model predicted ~₹1,772,166 for a work of this type/scale/location, actual sanctioned amount is ₹6,260,359 (253% above prediction)",0.0,,0.0,,0.0,,0.010632510538253597,,0.0,,0.5,[R1] sanctioned amount deviates 288% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 15.4x the typical spread for 'Health Sub-Centre Upgrade' works in West Bengal (peer-group check); ML model predicted ~₹1,772,166 for a work of this type/scale/location, actual sanctioned amount is ₹6,260,359 (253% above prediction) || [R1] sanctioned amount deviates 288% from MP-recommended amount without documented justification; "
W00279,MP024,Maharashtra,Nagpur,IA001,Drainage / Sewage Line (per km),1867709.18,Completed,1.0,"cost is 18.5x the typical spread for 'Drainage / Sewage Line (per km)' works in Maharashtra (peer-group check); ML model predicted ~₹1,227,646 for a work of this type/scale/location, actual sanctioned amount is ₹1,867,709 (52% above prediction)",0.0,,0.0,,0.0,,0.0572136120401861,,0.0,,0.5,[R1] sanctioned amount deviates 197% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 18.5x the typical spread for 'Drainage / Sewage Line (per km)' works in Maharashtra (peer-group check); ML model predicted ~₹1,227,646 for a work of this type/scale/location, actual sanctioned amount is ₹1,867,709 (52% above prediction) || [R1] sanctioned amount deviates 197% from MP-recommended amount without documented justification; "
W00904,MP010,Bihar,Gaya,IA036,Community Hall,15021008.63,Completed,1.0,"cost is 23.5x the typical spread for 'Community Hall' works in Bihar (peer-group check); ML model predicted ~₹4,745,577 for a work of this type/scale/location, actual sanctioned amount is ₹15,021,009 (217% above prediction)",0.0,,0.0,,0.0,,0.05306963657229553,,0.0,,0.5,[R1] sanctioned amount deviates 228% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 23.5x the typical spread for 'Community Hall' works in Bihar (peer-group check); ML model predicted ~₹4,745,577 for a work of this type/scale/location, actual sanctioned amount is ₹15,021,009 (217% above prediction) || [R1] sanctioned amount deviates 228% from MP-recommended amount without documented justification; "
W01060,MP019,Maharashtra,Nashik,IA027,School Building Renovation,5287583.86,Completed,1.0,"cost is 20.4x the typical spread for 'School Building Renovation' works in Maharashtra (peer-group check); ML model predicted ~₹1,679,353 for a work of this type/scale/location, actual sanctioned amount is ₹5,287,584 (215% above prediction)",0.0,,0.0,,0.0,,0.02176254565426876,,0.0,,0.5,[R1] sanctioned amount deviates 243% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 20.4x the typical spread for 'School Building Renovation' works in Maharashtra (peer-group check); ML model predicted ~₹1,679,353 for a work of this type/scale/location, actual sanctioned amount is ₹5,287,584 (215% above prediction) || [R1] sanctioned amount deviates 243% from MP-recommended amount without documented justification; "
W00006,MP015,West Bengal,Malda,IA014,Health Sub-Centre Upgrade,3398606.61,Completed,1.0,"cost is 5.7x the typical spread for 'Health Sub-Centre Upgrade' works in West Bengal (peer-group check); ML model predicted ~₹1,745,956 for a work of this type/scale/location, actual sanctioned amount is ₹3,398,607 (95% above prediction)",0.0,,0.0,,0.0,,0.059826949751114585,,0.0,,0.5,[R1] sanctioned amount deviates 207% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 5.7x the typical spread for 'Health Sub-Centre Upgrade' works in West Bengal (peer-group check); ML model predicted ~₹1,745,956 for a work of this type/scale/location, actual sanctioned amount is ₹3,398,607 (95% above prediction) || [R1] sanctioned amount deviates 207% from MP-recommended amount without documented justification; "
W00567,MP031,Uttar Pradesh,Gorakhpur,IA052,Road Construction (per km),9650953.85,Completed,1.0,cost is 16.8x the typical spread for 'Road Construction (per km)' works in Uttar Pradesh (peer-group check),0.0,,0.0,,0.0,,0.07413879058043375,,0.0,,0.5,[R1] sanctioned amount deviates 281% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,cost is 16.8x the typical spread for 'Road Construction (per km)' works in Uttar Pradesh (peer-group check) || [R1] sanctioned amount deviates 281% from MP-recommended amount without documented justification; 
W00915,MP015,West Bengal,Malda,IA043,Drainage / Sewage Line (per km),1663194.95,Completed,1.0,"cost is 19.3x the typical spread for 'Drainage / Sewage Line (per km)' works in West Bengal (peer-group check); ML model predicted ~₹883,048 for a work of this type/scale/location, actual sanctioned amount is ₹1,663,195 (88% above prediction)",0.0,,0.0,,0.0,,0.052981165112659406,,0.0,,0.5,[R1] sanctioned amount deviates 222% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 19.3x the typical spread for 'Drainage / Sewage Line (per km)' works in West Bengal (peer-group check); ML model predicted ~₹883,048 for a work of this type/scale/location, actual sanctioned amount is ₹1,663,195 (88% above prediction) || [R1] sanctioned amount deviates 222% from MP-recommended amount without documented justification; "
W00855,MP015,West Bengal,Malda,IA028,Public Toilet Complex,3325466.17,Completed,1.0,cost is 11.7x the typical spread for 'Public Toilet Complex' works in West Bengal (peer-group check),0.0,,0.0,,0.0,,0.03940462648843649,,0.0,,0.5,[R1] sanctioned amount deviates 187% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,cost is 11.7x the typical spread for 'Public Toilet Complex' works in West Bengal (peer-group check) || [R1] sanctioned amount deviates 187% from MP-recommended amount without documented justification; 
W00593,MP030,Bihar,Muzaffarpur,IA032,Street Lighting (per 50 units),6812054.81,Completed,1.0,"cost is 19.5x the typical spread for 'Street Lighting (per 50 units)' works in Bihar (peer-group check); ML model predicted ~₹2,637,463 for a work of this type/scale/location, actual sanctioned amount is ₹6,812,055 (158% above prediction)",0.0,,0.0,,0.0,,0.03587114132182517,,0.0,,0.5,[R1] sanctioned amount deviates 253% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 19.5x the typical spread for 'Street Lighting (per 50 units)' works in Bihar (peer-group check); ML model predicted ~₹2,637,463 for a work of this type/scale/location, actual sanctioned amount is ₹6,812,055 (158% above prediction) || [R1] sanctioned amount deviates 253% from MP-recommended amount without documented justification; "
W00146,MP016,West Bengal,Howrah,IA056,Street Lighting (per 50 units),2577240.52,Completed,1.0,"cost is 10.2x the typical spread for 'Street Lighting (per 50 units)' works in West Bengal (peer-group check); ML model predicted ~₹1,533,234 for a work of this type/scale/location, actual sanctioned amount is ₹2,577,241 (68% above prediction)",0.0,,0.0,,0.0,,0.02071789295978779,,0.0,,0.5,[R1] sanctioned amount deviates 152% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 10.2x the typical spread for 'Street Lighting (per 50 units)' works in West Bengal (peer-group check); ML model predicted ~₹1,533,234 for a work of this type/scale/location, actual sanctioned amount is ₹2,577,241 (68% above prediction) || [R1] sanctioned amount deviates 152% from MP-recommended amount without documented justification; "
W01123,MP030,Bihar,Gaya,IA011,Community Hall,7636345.12,Completed,1.0,"cost is 8.4x the typical spread for 'Community Hall' works in Bihar (peer-group check); ML model predicted ~₹4,745,577 for a work of this type/scale/location, actual sanctioned amount is ₹7,636,345 (61% above prediction)",0.0,,0.0,,0.0,,0.03622002638941719,,0.0,,0.5,[R1] sanctioned amount deviates 215% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,"cost is 8.4x the typical spread for 'Community Hall' works in Bihar (peer-group check); ML model predicted ~₹4,745,577 for a work of this type/scale/location, actual sanctioned amount is ₹7,636,345 (61% above prediction) || [R1] sanctioned amount deviates 215% from MP-recommended amount without documented justification; "
W00651,MP010,Bihar,Gaya,IA025,Public Toilet Complex,1878933.61,Completed,1.0,cost is 13.9x the typical spread for 'Public Toilet Complex' works in Bihar (peer-group check),0.0,,0.0,,0.0,,0.006150709025613747,,0.0,,0.5,[R1] sanctioned amount deviates 207% from MP-recommended amount without documented justification; ,2,97.0,Critical,0.0,On Track,cost is 13.9x the typical spread for 'Public Toilet Complex' works in Bihar (peer-group check) || [R1] sanctioned amount deviates 207% from MP-recommended amount without documented justification; 
W00284,MP027,Uttar Pradesh,Sitapur,IA017,Street Lighting (per 50 units),1766317.67,Completed,0.028483408932849143,,0.977149051659608,"description + location closely match work W01409 (text similarity 0.78, 65m apart) -- possible duplicate/phantom billing",0.0,,0.0,,0.07518029860613466,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,95.1,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring || description + location closely match work W01409 (text similarity 0.78, 65m apart) -- possible duplicate/phantom billing"
W01409,MP027,Uttar Pradesh,Sitapur,IA017,Street Lighting (per 50 units),1766317.67,Completed,0.028483408932849143,,0.977149051659608,"description + location closely match work W00284 (text similarity 0.78, 65m apart) -- possible duplicate/phantom billing",0.0,,0.0,,0.02030903187348063,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,95.1,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring || description + location closely match work W00284 (text similarity 0.78, 65m apart) -- possible duplicate/phantom billing"
W01414,MP022,Uttar Pradesh,Meerut,IA018,Drainage / Sewage Line (per km),3275589.38,In Progress,0.354856353921641,,0.9667717055455962,"description + location closely match work W00694 (text similarity 0.79, 78m apart) -- possible duplicate/phantom billing",0.0,,1.0,"sanctioned 988 days ago but expected duration was only 180 days (5.5x overdue), still marked 'In Progress' | 100% of sanctioned funds already disbursed, but work is still marked 'In Progress' -- payment has outpaced physical progress",0.0,,0.0,,0.0,,2,94.2,Critical,100.0,Severely Stalled,"description + location closely match work W00694 (text similarity 0.79, 78m apart) -- possible duplicate/phantom billing"
W00694,MP022,Uttar Pradesh,Meerut,IA018,Drainage / Sewage Line (per km),3275589.38,In Progress,0.354856353921641,,0.9667717055455962,"description + location closely match work W01414 (text similarity 0.79, 78m apart) -- possible duplicate/phantom billing",0.0,,1.0,"sanctioned 1071 days ago but expected duration was only 180 days (6.0x overdue), still marked 'In Progress' | 100% of sanctioned funds already disbursed, but work is still marked 'In Progress' -- payment has outpaced physical progress",0.0,,0.0,,0.0,,2,94.2,Critical,100.0,Severely Stalled,"description + location closely match work W01414 (text similarity 0.79, 78m apart) -- possible duplicate/phantom billing"
W01406,MP027,Uttar Pradesh,Sitapur,IA010,Street Lighting (per 50 units),2250570.47,Completed,0.1579501219849125,,0.9530632412955478,"description + location closely match work W00208 (text similarity 0.79, 85m apart) -- possible duplicate/phantom billing",0.0,,0.0,,0.05222600035230324,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,93.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring || description + location closely match work W00208 (text similarity 0.79, 85m apart) -- possible duplicate/phantom billing"
W00208,MP027,Uttar Pradesh,Sitapur,IA010,Street Lighting (per 50 units),2250570.47,Completed,0.1579501219849125,,0.9530632412955478,"description + location closely match work W01406 (text similarity 0.79, 85m apart) -- possible duplicate/phantom billing",0.0,,0.0,,0.03147815723402615,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,93.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring || description + location closely match work W01406 (text similarity 0.79, 85m apart) -- possible duplicate/phantom billing"
W01072,MP012,Uttar Pradesh,Sitapur,IA029,Street Lighting (per 50 units),1214923.95,Completed,0.32302946606783006,,0.0,,0.0,,0.0,,0.03162619224325016,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,92.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
W00391,MP031,Uttar Pradesh,Gorakhpur,IA060,Health Sub-Centre Upgrade,1284103.45,Completed,0.5512194112276012,,0.0,,0.0,,0.0,,1.0,completion photo GPS tag is 184.8km from the sanctioned work location,0.0,,0.0,,2,92.0,Critical,0.0,On Track,completion photo GPS tag is 184.8km from the sanctioned work location
W01316,MP019,Maharashtra,Nashik,IA048,Street Lighting (per 50 units),1180928.57,Completed,0.3951890564446523,,0.0,,0.0,,0.0,,1.0,"identical photo (hash 2aedad26689ce119) also submitted as completion evidence for 2 other unrelated work(s): W00960, W01316",0.0,,0.0,,2,92.0,Critical,0.0,On Track,"identical photo (hash 2aedad26689ce119) also submitted as completion evidence for 2 other unrelated work(s): W00960, W01316"
W01249,MP027,Uttar Pradesh,Sitapur,IA029,Public Toilet Complex,931934.28,Completed,0.7055962202407847,,0.0,,0.0,,0.0,,0.06847881897562824,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,92.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
W00429,MP027,Uttar Pradesh,Sitapur,IA017,Road Construction (per km),4298893.58,Completed,0.4787045774011289,,0.0,,0.0,,0.0,,0.05389684379722672,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,92.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
W00516,MP031,Uttar Pradesh,Sitapur,IA017,Public Toilet Complex,477895.83,Completed,0.5941071567815931,,0.0,,0.0,,0.0,,0.023913223718618867,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,92.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
W00228,MP036,Maharashtra,Pune,IA003,Drinking Water Facility,2958726.41,Completed,0.7119429501551348,,0.0,,0.0,,0.0,,1.0,completion photo GPS tag is 90.1km from the sanctioned work location,0.0,,0.0,,2,92.0,Critical,0.0,On Track,completion photo GPS tag is 90.1km from the sanctioned work location
W00534,MP014,Maharashtra,Pune,IA003,Community Hall,2867877.32,Completed,0.45127539210207995,,0.0,,0.0,,0.0,,1.0,"identical photo (hash 2aedad26689ce119) also submitted as completion evidence for 2 other unrelated work(s): W00960, W01316",0.0,,0.0,,2,92.0,Critical,0.0,On Track,"identical photo (hash 2aedad26689ce119) also submitted as completion evidence for 2 other unrelated work(s): W00960, W01316"
W01405,MP018,Bihar,Gaya,IA011,Drainage / Sewage Line (per km),745949.18,Completed,0.46194891983250663,,0.9413631071169595,"description + location closely match work W00834 (text similarity 0.76, 77m apart) -- possible duplicate/phantom billing",0.0,,0.0,,0.017293570763402138,,0.0,,0.0,,2,92.0,Critical,0.0,On Track,"description + location closely match work W00834 (text similarity 0.76, 77m apart) -- possible duplicate/phantom billing"
W00642,MP027,Uttar Pradesh,Sitapur,IA029,Drainage / Sewage Line (per km),2278518.78,Completed,0.22652533935780675,,0.0,,0.0,,0.0,,1.0,completion photo GPS tag is 119.9km from the sanctioned work location,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,92.0,Critical,0.0,On Track,"completion photo GPS tag is 119.9km from the sanctioned work location || 3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
W00122,MP031,Uttar Pradesh,Gorakhpur,IA026,Street Lighting (per 50 units),1042930.23,Completed,0.4220636806856332,,0.0,,0.0,,0.0,,1.0,"identical photo (hash 755f17f4eb8b0119) also submitted as completion evidence for 2 other unrelated work(s): W00265, W01115",0.0,,0.0,,2,92.0,Critical,0.0,On Track,"identical photo (hash 755f17f4eb8b0119) also submitted as completion evidence for 2 other unrelated work(s): W00265, W01115"
W00834,MP018,Bihar,Gaya,IA011,Drainage / Sewage Line (per km),745949.18,Completed,0.46194891983250663,,0.9413631071169595,"description + location closely match work W01405 (text similarity 0.76, 77m apart) -- possible duplicate/phantom billing",0.0,,0.0,,0.0328461289174359,,0.0,,0.0,,2,92.0,Critical,0.0,On Track,"description + location closely match work W01405 (text similarity 0.76, 77m apart) -- possible duplicate/phantom billing"
W01396,MP034,Uttar Pradesh,Meerut,IA040,Public Toilet Complex,855198.41,Completed,0.3988435405376105,,0.0,,0.0,,0.0,,1.0,completion photo GPS tag is 133.6km from the sanctioned work location,0.0,,0.0,,2,92.0,Critical,0.0,On Track,completion photo GPS tag is 133.6km from the sanctioned work location
W00608,MP027,Uttar Pradesh,Sitapur,IA029,School Building Renovation,2185803.43,Completed,0.41393953222787355,,0.0,,0.0,,0.0,,0.03706925502116515,,1.0,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring",0.0,,2,92.0,Critical,0.0,On Track,"3 Implementing Agencies in Sitapur (IA010, IA017, IA029) share an unusually overlapping small set of regular vendors (V025, V073) -- avg vendor-overlap 58%, consistent with a closed-loop vendor ring"
