payment_id,work_id,stage,amount,payment_date,vendor_id
P000125,W00051,2,764577.77,2025-11-14,V036
P000126,W00052,1,659549.23,2023-10-27,V028
P000127,W00052,2,494661.92,2023-12-26,V054
P000128,W00052,3,494661.92,2024-01-30,V037
P000129,W00053,1,954628.93,2023-11-22,V067
P000130,W00053,2,715971.7,2023-12-25,V026
P000131,W00053,3,715971.7,2024-01-18,V006
P000132,W00054,1,636297.8,2024-03-12,V071
P000133,W00054,2,636297.8,2024-04-13,V023
P000135,W00055,2,1504893.15,2024-10-05,V010
P000136,W00056,1,878974.99,2025-02-12,V043
P000137,W00056,2,878974.99,2025-04-01,V062
P000138,W00057,1,444359.16,2024-08-01,V086
P000139,W00057,2,333269.37,2024-10-13,V002
P000140,W00057,3,333269.37,2024-11-29,V006
P000141,W00058,1,1137477.75,2024-07-24,V081
P000142,W00058,2,853108.31,2024-11-04,V070
P000143,W00058,3,853108.31,2024-12-12,V050
P000144,W00059,1,301679.33,2025-04-03,V009
P000145,W00059,2,226259.5,2025-05-22,V039
P000146,W00059,3,226259.5,2025-07-20,V064
P000147,W00060,1,1567444.36,2025-06-15,V026
P000148,W00060,2,1567444.36,2025-09-27,V015
P000149,W00061,1,2066851.02,2024-04-26,V067
P000150,W00061,2,2066851.02,2024-08-05,V046
P000151,W00062,1,2825422.2,2024-12-17,V028
P000152,W00062,2,2119066.65,2025-04-03,V071
P000153,W00062,3,2119066.65,2025-06-26,V043
P000154,W00063,1,454115.06,2024-02-03,V023
P000155,W00063,2,340586.3,2024-03-07,V081
P000156,W00063,3,340586.3,2024-04-02,V078
P000157,W00064,1,1071635.59,2024-05-29,V027
P000158,W00064,2,1071635.59,2024-08-26,V075
P000159,W00065,1,2409154.02,2026-04-22,V085
P000160,W00065,2,2409154.02,2026-08-12,V089
P000161,W00066,1,1560172.73,2024-09-10,V086
P000162,W00066,2,1560172.73,2024-12-27,V077
P000163,W00067,1,379330.96,2025-08-22,V025
P000164,W00067,2,379330.96,2025-10-23,V060
P000165,W00068,1,673305.13,2025-12-23,V010
P000166,W00068,2,504978.85,2026-02-24,V053
P000167,W00068,3,504978.85,2026-04-24,V056
P000168,W00069,1,1421223.85,2026-02-05,V004
P000169,W00069,2,1065917.89,2026-05-01,V077
P000170,W00069,3,1065917.89,2026-06-28,V028
P000171,W00070,1,369515.24,2025-01-23,V084
P000172,W00070,2,277136.43,2025-04-21,V090
P000173,W00070,3,277136.43,2025-06-01,V025
P000174,W00071,1,4717367.79,2023-11-13,V054
P000175,W00071,2,4717367.79,2024-04-08,V062
P000176,W00072,1,444124.0,2025-10-21,V065
P000177,W00072,2,333093.0,2025-12-08,V016
P000178,W00072,3,333093.0,2026-01-16,V005
P000179,W00073,1,795873.2,2025-06-23,V086
P000180,W00073,2,596904.9,2025-08-13,V045
P000181,W00073,3,596904.9,2025-09-11,V022
P000182,W00074,1,951285.12,2026-02-25,V016
P000183,W00074,2,713463.84,2026-03-30,V030
P000184,W00074,3,713463.84,2026-06-05,V041
P000185,W00075,1,1304090.93,2025-03-13,V019
P000186,W00075,2,978068.2,2025-05-18,V072
P000187,W00075,3,978068.2,2025-08-01,V036
P000188,W00076,1,1352222.31,2025-09-30,V003
P000189,W00076,2,1014166.73,2026-01-07,V072
P000190,W00076,3,1014166.73,2026-03-24,V089
P000191,W00077,1,1379165.28,2025-10-13,V084
P000192,W00077,2,1034373.96,2025-12-31,V043
P000193,W00077,3,1034373.96,2026-03-24,V032
P000194,W00078,1,662434.09,2024-07-30,V077
P000195,W00078,2,496825.57,2024-10-19,V029
P000196,W00078,3,496825.57,2024-12-22,V042
P000197,W00079,1,1149827.58,2024-10-10,V024
P000198,W00079,2,862370.69,2024-11-30,V067
P000199,W00079,3,862370.69,2025-02-03,V044
P000200,W00080,1,1889180.74,2023-08-31,V050
P000201,W00080,2,1889180.74,2023-12-18,V060
P000202,W00081,1,945365.47,2024-04-08,V068
P000203,W00081,2,945365.47,2024-07-06,V086
P000204,W00082,1,279261.34,2025-04-03,V079
P000205,W00082,2,279261.34,2025-06-08,V043
P000206,W00083,1,403699.84,2026-06-08,V021
P000207,W00083,2,302774.88,2026-07-31,V005
P000208,W00083,3,302774.88,2026-08-24,V054
P000209,W00084,1,1761264.96,2024-07-16,V080
P000210,W00084,2,1761264.96,2024-11-02,V058
P000211,W00085,1,753705.6,2024-01-17,V021
P000212,W00085,2,565279.2,2024-03-14,V018
P000213,W00085,3,565279.2,2024-04-23,V048
P000214,W00086,1,1512643.73,2025-11-22,V039
P000216,W00087,1,407247.42,2026-04-05,V004
P000217,W00087,2,407247.42,2026-07-31,V053
P000218,W00088,1,968693.72,2025-04-01,V028
P000219,W00088,2,968693.72,2025-07-10,V011
P000220,W00089,1,698454.78,2025-08-12,V034
P000221,W00089,2,698454.78,2025-10-16,V064
P000222,W00090,1,1517294.22,2026-04-15,V015
P000223,W00090,2,1137970.66,2026-07-10,V027
P000224,W00091,1,908916.8,2025-09-12,V063
P000225,W00091,2,908916.8,2025-10-29,V015
P000226,W00092,1,736263.48,2024-09-14,V002
P000227,W00092,2,552197.61,2024-10-26,V090
P000228,W00092,3,552197.61,2025-01-02,V038
P000229,W00093,1,202556.17,2025-04-04,V084
P000230,W00093,2,151917.13,2025-05-03,V089
P000231,W00093,3,151917.13,2025-06-07,V008
P000232,W00094,1,695754.73,2024-02-02,V063
P000233,W00094,2,521816.05,2024-03-17,V015
P000234,W00094,3,521816.05,2024-05-13,V012
P000235,W00095,1,1579273.82,2024-08-23,V052
P000236,W00095,2,1579273.82,2024-11-16,V051
P000237,W00096,1,168052.23,2023-09-30,V057
P000238,W00096,2,126039.17,2023-11-14,V067
P000239,W00096,3,126039.17,2023-12-19,V061
P000240,W00097,1,1335859.69,2023-11-06,V041
P000241,W00097,2,1001894.77,2024-02-22,V026
P000242,W00097,3,1001894.77,2024-05-30,V011
P000243,W00098,1,706675.76,2023-12-25,V009
P000244,W00098,2,530006.82,2024-02-10,V054
P000245,W00098,3,530006.82,2024-04-05,V047
P000246,W00099,1,272296.06,2026-03-23,V052
P000247,W00099,2,204222.04,2026-04-27,V034
P000248,W00099,3,204222.04,2026-05-27,V035
P000249,W00100,1,404788.9,2024-12-30,V049
P000250,W00100,2,303591.67,2025-02-21,V088
P000251,W00100,3,303591.67,2025-04-19,V032
P000252,W00101,1,749512.28,2025-07-25,V061
P000253,W00101,2,562134.21,2025-10-01,V035
P000254,W00101,3,562134.21,2025-12-13,V089
P000255,W00102,1,2098909.77,2023-08-25,V062
P000256,W00102,2,1574182.33,2023-11-01,V019
P000257,W00102,3,1574182.33,2024-03-10,V006
P000258,W00103,1,614554.47,2024-11-25,V005
P000259,W00103,2,614554.47,2025-02-14,V056
P000260,W00104,1,1073562.81,2024-10-12,V047
P000261,W00104,2,805172.11,2024-12-24,V065
P000262,W00104,3,805172.11,2025-03-02,V032
P000263,W00105,1,1635507.72,2023-12-29,V001
P000264,W00105,2,1635507.72,2024-03-28,V059
P000265,W00106,1,642672.03,2024-01-17,V068
P000266,W00106,2,482004.02,2024-04-15,V020
P000267,W00106,3,482004.02,2024-06-10,V005
P000268,W00107,1,590749.83,2024-06-26,V016
P000269,W00107,2,443062.37,2024-09-13,V020
P000270,W00107,3,443062.37,2024-10-22,V008
P000271,W00108,1,560633.46,2024-01-11,V073
P000272,W00108,2,420475.1,2024-02-09,V047
P000273,W00108,3,420475.1,2024-03-19,V013
P000274,W00109,1,1368114.81,2026-02-28,V066
P000275,W00109,2,1026086.11,2026-05-04,V049
P000276,W00109,3,1026086.11,2026-07-08,V070
P000277,W00110,1,199076.07,2024-10-19,V004
P000278,W00110,2,199076.07,2024-12-24,V050
P000279,W00111,1,1235377.75,2024-08-06,V060
P000280,W00111,2,1235377.75,2024-09-26,V090
P000281,W00112,1,337959.37,2024-11-10,V003
P000282,W00112,2,253469.53,2024-12-14,V077
P000283,W00112,3,253469.53,2025-01-19,V047
P000284,W00113,1,243392.36,2026-01-10,V059
P000285,W00113,2,182544.27,2026-03-15,V037
P000286,W00113,3,182544.27,2026-04-21,V083
P000287,W00114,1,381360.4,2023-11-26,V055
P000288,W00114,2,286020.3,2024-01-01,V015
P000289,W00114,3,286020.3,2024-02-18,V019
P000290,W00115,1,591713.1,2026-05-12,V027
P000291,W00115,2,443784.82,2026-07-29,V028
P000292,W00115,3,443784.82,2026-09-03,V058
P000293,W00116,1,670098.34,2024-01-29,V050
P000294,W00116,2,502573.75,2024-04-12,V045
P000295,W00116,3,502573.75,2024-06-18,V030
P000296,W00117,1,577411.52,2025-01-21,V039
P000297,W00117,2,433058.64,2025-04-15,V080
P000298,W00117,3,433058.64,2025-07-05,V021
P000299,W00118,1,865505.15,2025-06-22,V065
P000300,W00118,2,865505.15,2025-09-28,V013
P000301,W00119,1,1520660.89,2024-10-24,V004
P000302,W00119,2,1140495.67,2024-12-09,V044
P000303,W00119,3,1140495.67,2025-02-04,V077
P000304,W00120,1,586673.27,2024-12-28,V030
P000305,W00120,2,440004.95,2025-02-15,V055
P000306,W00120,3,440004.95,2025-05-08,V019
P000307,W00121,1,276864.71,2024-04-10,V069
P000308,W00121,2,207648.53,2024-05-04,V031
P000309,W00121,3,207648.53,2024-06-03,V055
P000310,W00122,1,417172.09,2025-10-12,V048
P000311,W00122,2,312879.07,2025-11-16,V070
P000312,W00122,3,312879.07,2025-12-10,V031
P000313,W00123,1,1493795.68,2025-11-03,V082
P000314,W00123,2,1120346.76,2026-02-07,V026
P000315,W00123,3,1120346.76,2026-05-13,V063
P000316,W00124,1,1304338.83,2024-02-11,V020
P000317,W00124,2,1304338.83,2024-05-01,V074
P000318,W00125,1,554594.7,2025-06-15,V022
P000319,W00125,2,415946.03,2025-08-07,V016
P000320,W00125,3,415946.03,2025-11-07,V044
P000321,W00126,1,702751.93,2024-12-17,V002
P000322,W00126,2,527063.95,2025-02-24,V007
P000323,W00126,3,527063.95,2025-04-03,V037
P000324,W00127,1,966523.51,2025-12-23,V054
P000325,W00127,2,724892.63,2026-01-31,V026
P000326,W00127,3,724892.63,2026-02-18,V079
P000327,W00128,1,1264294.95,2024-01-21,V023
P000328,W00128,2,948221.21,2024-04-03,V062
P000329,W00128,3,948221.21,2024-07-21,V040
P000330,W00129,1,500133.13,2024-05-16,V082
P000331,W00129,2,375099.85,2024-06-12,V088
P000332,W00129,3,375099.85,2024-08-03,V010
P000333,W00130,1,795672.3,2024-03-13,V011
P000334,W00130,2,596754.22,2024-04-05,V021
P000335,W00130,3,596754.22,2024-05-10,V075
P000336,W00131,1,1858862.04,2024-04-30,V007
P000337,W00131,2,1858862.04,2024-08-10,V088
P000338,W00132,1,1105110.15,2025-11-17,V004
P000339,W00132,2,1105110.15,2026-02-07,V038
P000340,W00133,1,754074.62,2023-10-03,V064
P000341,W00133,2,565555.96,2023-11-16,V028
P000342,W00133,3,565555.96,2024-02-10,V004
P000343,W00134,1,2504143.69,2024-04-20,V044
P000344,W00134,2,1878107.77,2024-06-04,V012
P000345,W00134,3,1878107.77,2024-09-10,V078
P000346,W00135,1,1651738.2,2024-10-09,V069
P000347,W00135,2,1238803.65,2025-01-07,V030
P000348,W00135,3,1238803.65,2025-04-14,V015
P000349,W00136,1,626696.18,2025-10-04,V090
P000350,W00136,2,470022.13,2025-11-29,V047
P000351,W00136,3,470022.13,2026-03-07,V063
P000352,W00137,1,1511350.12,2025-11-09,V082
P000353,W00137,2,1133512.59,2026-01-14,V087
P000354,W00137,3,1133512.59,2026-04-17,V058
P000355,W00138,1,1165553.8,2024-04-10,V050
P000356,W00138,2,874165.35,2024-06-07,V051
P000357,W00138,3,874165.35,2024-07-18,V007
P000358,W00139,1,1346581.61,2023-10-15,V026
P000359,W00139,2,1009936.21,2023-12-05,V047
P000360,W00139,3,1009936.21,2024-01-17,V018
P000361,W00140,1,622567.4,2024-02-07,V071
P000362,W00140,2,466925.55,2024-04-04,V070
P000363,W00140,3,466925.55,2024-05-23,V024
P000364,W00141,1,867868.42,2025-02-28,V071
P000365,W00141,2,867868.42,2025-05-26,V025
P000366,W00142,1,1173527.8,2025-10-15,V042
P000367,W00142,2,880145.85,2025-12-30,V046
P000368,W00142,3,880145.85,2026-03-10,V039
P000369,W00143,1,786385.67,2023-09-22,V001
P000370,W00143,2,589789.25,2023-10-24,V058
P000371,W00143,3,589789.25,2023-11-08,V087
P000372,W00144,1,1398737.19,2023-12-24,V042
P000373,W00144,2,1049052.89,2024-04-01,V042
P000374,W00144,3,1049052.89,2024-05-10,V022
P000375,W00145,1,704156.53,2023-10-30,V090
P000376,W00145,2,528117.4,2024-01-06,V022
P000377,W00145,3,528117.4,2024-04-24,V053
P000378,W00146,1,1288620.26,2023-08-14,V065
P000379,W00146,2,1288620.26,2023-10-08,V002
P000380,W00147,1,393152.03,2025-12-26,V036
P000381,W00147,2,393152.03,2026-02-13,V071
P000382,W00148,1,1028002.55,2023-12-21,V012
P000383,W00148,2,771001.91,2024-01-30,V018
P000384,W00148,3,771001.91,2024-03-29,V045
P000385,W00149,1,514051.03,2023-10-19,V005
P000386,W00149,2,385538.27,2024-01-14,V057
P000387,W00149,3,385538.27,2024-03-09,V065
P000388,W00150,1,650999.54,2026-07-26,V081
P000389,W00151,1,838122.11,2026-05-22,V067
P000390,W00151,2,628591.58,2026-06-30,V040
P000391,W00151,3,628591.58,2026-08-28,V005
P000392,W00152,1,797914.52,2026-06-10,V073
P000393,W00152,2,598435.89,2026-08-16,V073
P000394,W00153,1,1080731.92,2025-11-09,V063
P000395,W00153,2,810548.94,2026-02-06,V003
P000396,W00153,3,810548.94,2026-05-02,V047
P000397,W00154,1,880405.04,2024-10-08,V029
P000398,W00154,2,660303.78,2024-11-30,V042
P000399,W00154,3,660303.78,2025-01-28,V056
P000400,W00155,1,1404343.88,2023-08-07,V073
P000401,W00155,2,1053257.91,2023-10-10,V010
P000402,W00155,3,1053257.91,2023-11-22,V072
P000403,W00156,1,456746.96,2024-08-27,V085
P000404,W00156,2,342560.22,2024-10-03,V018
P000405,W00156,3,342560.22,2024-11-06,V012
P000406,W00157,1,2428908.08,2024-02-24,V084
P000407,W00157,2,1821681.06,2024-05-22,V048
P000408,W00157,3,1821681.06,2024-08-08,V024
P000409,W00158,1,754990.22,2024-11-30,V008
P000410,W00158,2,566242.66,2025-02-02,V011
P000411,W00158,3,566242.66,2025-05-14,V018
P000412,W00159,1,357071.46,2025-06-25,V085
P000413,W00159,2,267803.6,2025-08-11,V024
P000414,W00159,3,267803.6,2025-09-10,V053
P000415,W00160,1,2718007.78,2024-07-24,V088
P000416,W00160,2,2038505.84,2024-09-26,V011
P000417,W00160,3,2038505.84,2025-02-12,V064
P000418,W00161,1,2110739.65,2024-03-17,V011
P000419,W00161,2,2110739.65,2024-08-15,V037
P000420,W00162,1,1495097.71,2024-06-14,V037
P000421,W00162,2,1121323.28,2024-08-04,V044
P000422,W00162,3,1121323.28,2024-10-10,V010
P000423,W00163,1,681442.09,2023-10-24,V083
P000424,W00163,2,681442.09,2023-12-02,V062
P000425,W00164,1,566866.59,2025-01-11,V060
P000426,W00164,2,425149.94,2025-02-14,V085
P000427,W00164,3,425149.94,2025-03-12,V090
P000428,W00165,1,455771.86,2025-05-12,V089
P000429,W00165,2,341828.89,2025-06-11,V039
P000430,W00165,3,341828.89,2025-07-21,V048
P000431,W00166,1,1240348.58,2026-02-15,V061
P000432,W00166,2,930261.44,2026-04-09,V067
P000433,W00166,3,930261.44,2026-06-19,V086
P000434,W00167,1,714957.77,2026-01-14,V088
P000435,W00167,2,714957.77,2026-04-02,V031
P000436,W00168,1,452207.01,2024-01-18,V071
P000437,W00168,2,339155.26,2024-02-07,V025
P000438,W00168,3,339155.26,2024-03-06,V042
P000439,W00169,1,624504.48,2023-07-21,V076
P000440,W00169,2,468378.36,2023-09-02,V080
P000441,W00169,3,468378.36,2023-11-06,V052
P000442,W00170,1,680368.08,2023-12-12,V079
P000443,W00170,2,680368.08,2024-04-01,V085
P000444,W00171,1,1276162.6,2026-04-25,V026
P000445,W00171,2,1276162.6,2026-06-18,V086
P000446,W00172,1,548076.55,2024-01-09,V079
P000447,W00172,2,411057.41,2024-04-01,V014
P000448,W00172,3,411057.41,2024-04-28,V040
P000449,W00173,1,825709.86,2025-10-26,V067
P000450,W00173,2,825709.86,2026-02-09,V031
P000451,W00174,1,866503.93,2024-03-01,V078
P000452,W00174,2,649877.95,2024-04-28,V040
P000453,W00174,3,649877.95,2024-07-12,V015
P000454,W00175,1,1644405.83,2024-09-16,V079
P000455,W00175,2,1233304.37,2024-12-04,V087
P000456,W00175,3,1233304.37,2025-01-29,V010
P000457,W00176,1,360091.13,2025-02-02,V082
P000458,W00176,2,270068.35,2025-03-11,V065
P000459,W00176,3,270068.35,2025-05-13,V037
P000460,W00177,1,1457191.12,2025-10-06,V067
P000461,W00177,2,1457191.12,2025-12-23,V022
P000462,W00178,1,236674.04,2025-10-22,V044
P000463,W00178,2,236674.04,2026-02-04,V023
P000464,W00179,1,646424.66,2025-04-01,V062
P000465,W00179,2,484818.49,2025-06-01,V052
P000466,W00179,3,484818.49,2025-08-11,V012
P000467,W00180,1,3126002.11,2025-11-27,V080
P000468,W00180,2,2344501.58,2026-02-09,V038
P000469,W00180,3,2344501.58,2026-06-04,V012
P000470,W00181,1,474369.77,2025-10-13,V057
P000471,W00181,2,355777.33,2025-12-09,V088
P000472,W00181,3,355777.33,2026-03-05,V038
P000473,W00182,1,323057.39,2024-10-15,V051
P000474,W00182,2,323057.39,2025-01-26,V046
P000475,W00183,1,649545.09,2024-11-23,V027
P000476,W00183,2,487158.82,2025-01-22,V045
P000477,W00183,3,487158.82,2025-04-05,V049
P000478,W00184,1,826459.6,2026-05-06,V031
P000479,W00184,2,619844.7,2026-06-08,V007
P000480,W00184,3,619844.7,2026-06-20,V090
P000481,W00185,1,904869.7,2023-10-19,V019
P000482,W00185,2,678652.27,2023-12-15,V078
P000483,W00185,3,678652.27,2024-02-29,V014
P000484,W00186,1,948379.25,2024-02-22,V074
P000485,W00186,2,711284.44,2024-03-22,V042
P000486,W00186,3,711284.44,2024-05-05,V031
P000487,W00187,1,1001964.82,2025-11-20,V010
P000488,W00187,2,751473.61,2026-01-27,V058
P000489,W00187,3,751473.61,2026-03-23,V087
P000490,W00188,1,397605.44,2024-09-17,V063
P000491,W00188,2,298204.08,2024-10-15,V060
P000492,W00188,3,298204.08,2024-11-09,V085
P000493,W00189,1,910427.24,2024-09-24,V008
P000494,W00189,2,910427.24,2024-11-08,V044
P000495,W00190,1,1206104.34,2024-02-12,V023
P000496,W00190,2,904578.26,2024-04-28,V039
P000497,W00190,3,904578.26,2024-08-15,V040
P000498,W00191,1,546536.25,2024-05-26,V061
P000499,W00191,2,546536.25,2024-07-09,V019
P000500,W00192,1,276070.63,2023-07-20,V033
P000501,W00192,2,207052.97,2023-09-04,V090
P000502,W00192,3,207052.97,2023-11-22,V028
P000503,W00193,1,669429.04,2026-01-07,V086
P000504,W00193,2,502071.78,2026-03-25,V026
P000505,W00193,3,502071.78,2026-06-10,V073
P000506,W00194,1,337079.86,2025-07-12,V013
P000507,W00194,2,252809.9,2025-08-15,V083
P000508,W00194,3,252809.9,2025-08-30,V069
P000509,W00195,1,723889.96,2023-11-23,V028
P000510,W00195,2,723889.96,2024-02-10,V027
P000511,W00196,1,318880.98,2024-10-01,V028
P000512,W00196,2,239160.73,2024-11-23,V046
P000513,W00196,3,239160.73,2024-12-13,V045
P000514,W00197,1,1773764.71,2024-01-09,V074
P000515,W00197,2,1773764.71,2024-04-24,V058
P000516,W00198,1,837328.84,2026-07-16,V055
P000517,W00199,1,1561373.72,2026-01-10,V070
P000518,W00199,2,1171030.29,2026-04-19,V051
P000519,W00199,3,1171030.29,2026-06-12,V064
P000520,W00200,1,2843420.56,2023-09-29,V041
P000521,W00200,2,2132565.42,2023-12-29,V067
P000522,W00200,3,2132565.42,2024-03-09,V064
P000523,W00201,1,902457.51,2026-05-06,V046
P000524,W00201,2,902457.51,2026-08-03,V064
P000525,W00202,1,425288.75,2024-03-16,V032
P000526,W00202,2,318966.56,2024-05-04,V030
P000527,W00202,3,318966.56,2024-05-22,V026
P000528,W00203,1,1868647.29,2025-07-10,V020
P000529,W00203,2,1868647.29,2025-10-27,V041
P000530,W00204,1,3051087.96,2026-02-20,V009
P000531,W00204,2,2288315.97,2026-05-12,V007
P000532,W00204,3,2288315.97,2026-07-19,V060
P000533,W00205,1,861584.02,2023-12-20,V006
P000534,W00205,2,861584.02,2024-04-06,V004
P000535,W00206,1,1210645.76,2026-04-06,V078
P000536,W00206,2,907984.32,2026-05-19,V062
P000537,W00206,3,907984.32,2026-07-17,V001
P000538,W00207,1,286258.41,2026-04-25,V084
P000539,W00207,2,286258.41,2026-06-17,V088
P000540,W00208,1,1125285.24,2026-02-13,V025
P000541,W00208,2,1125285.24,2026-03-15,V023
P000542,W00209,1,1401359.92,2024-07-28,V054
P000543,W00209,2,1051019.94,2024-10-03,V043
P000544,W00209,3,1051019.94,2024-12-19,V043
P000545,W00210,1,1581830.04,2025-08-04,V056
P000546,W00210,2,1581830.04,2025-12-21,V053
P000547,W00211,1,1551018.0,2024-03-20,V079
P000548,W00211,2,1163263.5,2024-06-01,V086
P000549,W00211,3,1163263.5,2024-09-11,V071
P000550,W00212,1,860867.64,2024-09-12,V004
P000551,W00212,2,860867.64,2025-01-20,V019
P000552,W00213,1,385807.6,2024-08-12,V051
P000553,W00213,2,289355.7,2024-09-26,V027
