photo_id,work_id,upload_date,geotag_lat,geotag_lon,phash
PH000089,W00114,2024-03-20,27.8888,83.19587,07b7f5e28eb9e0ee
PH000090,W00116,2024-06-02,22.06632,72.5981,e707ea990c60e971
PH000091,W00117,2025-05-15,21.99377,72.69632,30fef5bbb3f39688
PH000092,W00118,2025-11-05,16.40793,87.4813,38cb0e393bd7d220
PH000093,W00119,2025-01-23,16.46191,87.65958,59a801377cd36970
PH000094,W00120,2025-07-03,21.72388,75.52217,46efdeafd394505e
PH000095,W00121,2024-06-14,26.61014,75.12353,876be970a38cfa7c
PH000096,W00122,2025-11-16,16.30196,87.62899,755f17f4eb8b0119
PH000097,W00123,2026-05-10,17.23636,82.88432,df3d36dc13c552cc
PH000098,W00124,2024-03-04,21.94145,72.66112,6a9b945727fb16c6
PH000099,W00125,2025-12-20,23.4404,73.10923,12857db1d20d5e3e
PH000100,W00126,2025-03-14,17.41285,82.81166,7d6595285803f2d7
PH000101,W00127,2026-01-15,26.45029,84.71148,cb8a8ee8910061d8
PH000102,W00128,2024-05-27,26.47216,77.72889,86412cf3e27dca8e
PH000103,W00129,2024-08-07,21.93277,72.83965,462963e361510937
PH000104,W00131,2024-10-23,26.44812,77.63112,bbfaad904c6aa016
PH000105,W00132,2026-05-05,21.971,72.83016,c39543c1cd4bab2f
PH000106,W00133,2024-01-21,27.35091,82.19485,4a78dc707154775d
PH000107,W00134,2024-09-20,17.23118,83.03303,db4f0b18d902b97e
PH000108,W00135,2025-05-29,21.92127,72.56791,9d3704dbf1bc5b53
PH000109,W00136,2026-02-12,27.39689,82.22178,dcf8692f4268a75a
PH000110,W00137,2026-04-13,29.56276,86.31641,dbcea33231f400e5
PH000111,W00139,2024-01-10,16.5233,87.5487,891743c135591ffd
PH000112,W00140,2024-03-31,23.41812,72.87294,a94b178f03f1a311
PH000113,W00141,2025-05-13,23.29105,73.15465,acd16a34a59feecf
PH000114,W00143,2023-11-08,21.91047,72.81611,4685f8e651a79450
PH000115,W00144,2024-08-12,17.21592,82.84055,43922c2ce487b925
PH000116,W00145,2024-04-29,22.03892,72.81444,574022cf2b076b06
PH000117,W00146,2023-10-11,21.89628,72.62378,4e9e9575bea8fc42
PH000118,W00147,2026-01-27,26.73418,75.23768,47c99c06a4bcf4f2
PH000119,W00148,2024-02-15,16.97492,79.2622,f47db945bf09121f
PH000120,W00149,2024-06-04,27.49244,82.09633,a926fc693e7978b0
PH000121,W00151,2026-09-02,27.335321421738733,76.36872758057983,4dfd081e53b4cbca
PH000122,W00155,2023-12-13,27.43596,82.11032,adea65493a042853
PH000123,W00156,2024-10-05,16.83914,79.2793,3c0e83ff9e1974d8
PH000124,W00157,2024-10-29,29.58256,86.14769,4e7d0b0d9fce64a8
PH000125,W00158,2025-04-04,23.22218,73.14143,08bd5b5cca10587f
PH000126,W00159,2025-10-28,17.24939,82.92194,cf8c0d9e9c3c1eab
PH000127,W00160,2024-10-03,27.44546,82.18814,9876ffac7358d5ec
PH000128,W00161,2024-06-20,21.63937,75.60792,33ee5f41b60e2c0b
PH000129,W00163,2023-11-04,24.67768,85.06064,9521419f29db5e16
PH000130,W00164,2025-02-01,16.37514,87.51163,0ccabc7e12a18ee9
PH000131,W00165,2025-07-18,23.35733,73.14654,0e46aef2840af5a7
PH000132,W00166,2026-04-03,16.48592,87.54246,ed0def95ebeb1162
PH000133,W00167,2026-03-19,23.43103,73.01855,15f9a18aebb260c8
PH000134,W00168,2024-02-15,26.46695,79.0536,43f64999c52bec24
PH000135,W00169,2023-10-19,16.88581,79.21698,01c77d24ebc928b8
PH000136,W00170,2024-04-20,23.35131,73.102,33cd53bfd0d7d1a3
PH000137,W00171,2026-08-20,16.81388,79.15764,94f327f7b0af484d
PH000138,W00172,2024-08-15,27.30477,81.97117,d56ce680370031ed
PH000139,W00173,2025-11-22,24.65969,85.26956,15739164da2b2574
PH000140,W00174,2024-08-16,27.27256,82.07489,1eaf1b28115e0cea
PH000141,W00175,2025-04-14,23.28021,73.12919,6b67972c462d252e
PH000142,W00176,2025-04-23,21.89135,72.79314,576e184e6b556693
PH000143,W00177,2026-03-01,17.32412,82.82927,0d2d41fc12a79639
PH000144,W00178,2025-12-01,21.50937,75.568,98ec50d58d235c75
PH000145,W00179,2025-08-15,22.14919,72.83135,8d0c89aa1ec767d1
PH000146,W00181,2026-01-01,21.74244,75.66889,157ac43abedff07b
PH000147,W00183,2025-04-25,29.51622,86.30767,9368982dd32851c0
PH000148,W00184,2026-07-10,27.88684,83.05744,b24d8df685f9ab1f
PH000149,W00185,2024-02-29,27.97509,83.02744,bbbc46ba219ae70a
PH000150,W00186,2024-04-15,23.38402,73.00529,a006d7c6056cc2f2
PH000151,W00187,2026-03-05,24.78541,85.30038,cdb05b202092075a
PH000152,W00188,2024-11-09,16.78915,79.06844,e8c9e32aebfbfe37
PH000153,W00189,2024-11-16,27.36037,82.06875,1124b306051a3ff9
PH000154,W00190,2024-06-14,26.45244,84.54039,6f2fd95c1140f373
PH000155,W00191,2024-07-13,26.5067,84.44384,074ef12c0bdc829a
PH000156,W00192,2023-11-20,29.62735,86.39939,8e6c14803e40cb2d
PH000157,W00193,2026-06-15,27.52443,82.15172,656479dd64f3c11b
PH000158,W00194,2025-10-08,24.56842,85.09955,697266afe1175e8e
PH000159,W00195,2024-02-25,16.99155,79.33888,cd703b7a81a1ec58
PH000160,W00196,2024-12-02,23.43692,73.16687,b4c9b8152bd5b894
PH000161,W00197,2024-06-09,17.17377,82.80102,714e8e38d529d775
PH000162,W00199,2026-09-03,26.57735,74.98406,726a6c2053d84d25
PH000163,W00200,2023-10-11,17.18141,83.0351,a1bccc80cc30a5eb
PH000164,W00201,2026-08-17,29.42615,86.28354,0d5ee9756a64bbea
PH000165,W00202,2024-06-09,17.26029,82.87065,1d31c84d91e5da08
PH000166,W00203,2025-10-14,21.54287,75.48954,ea001abd27a85a16
PH000167,W00204,2026-06-17,26.22237,77.70332,edf885cc9f2857c0
PH000168,W00205,2023-12-08,24.77087,85.25928,3f26baad4614e3ff
PH000169,W00206,2026-08-26,23.31165,72.90089,902623e03b4e4623
PH000170,W00207,2026-07-15,23.43948,73.09005,81da873a69555a34
PH000171,W00208,2026-04-21,26.63499,79.07319,024b30377689c5c8
PH000172,W00209,2025-02-07,23.28849,73.04519,d7c99b3b51ec1a34
PH000173,W00210,2025-11-13,21.65882,75.74662,d9f8948d889eb6a0
PH000174,W00211,2024-04-05,24.60571,85.14803,6d6ab02ea27b3dea
PH000175,W00212,2024-10-12,24.65932,85.08681,7fec7096f30fa6ab
PH000176,W00214,2026-04-22,20.41959,86.88182,b1f0a108b36ad0f7
PH000177,W00215,2023-09-23,24.63634,85.05062,af875924d61174dd
PH000178,W00219,2024-10-24,24.59467,85.22294,decb58f18c9b1d41
PH000179,W00220,2023-08-28,27.4466,82.07906,a77598a0da8ba3d4
PH000180,W00222,2024-08-30,16.26405,87.59156,8b3ac1d1446ce502
PH000181,W00224,2026-02-07,29.59604,86.20854,b66527e5b707107b
PH000182,W00226,2024-10-22,20.51456,86.76551,36aa580bf07292c8
PH000183,W00227,2025-11-28,29.65574,86.19839,ec67ab5856009437
PH000184,W00228,2024-09-23,20.018613453623516,87.49610156616684,c30e7249b6c62e10
PH000185,W00229,2025-05-29,29.48018,86.39014,ddc9a197a0794a35
PH000186,W00230,2025-09-11,29.5928,86.27789,ee7c08c6a1c5eda2
PH000187,W00231,2025-07-23,23.40591,73.12715,e8453eaa1d908d5c
PH000188,W00233,2026-02-08,26.57936,79.11573,2c1b51319e46c30b
PH000189,W00234,2026-03-13,26.26584,77.78187,b8c84c4967e20ad4
PH000190,W00236,2025-04-14,24.60822,85.09555,cc54c1f2ec93dd4e
PH000191,W00237,2024-10-07,27.4897,82.06413,3fca9a3572129745
PH000192,W00238,2024-05-12,23.43388,73.11082,0b9efb8290ad50e4
PH000193,W00239,2025-07-14,21.52787,75.7698,340e23041809f4b0
PH000194,W00240,2026-08-03,16.49019,87.56875,bb174cb5dff6a641
PH000195,W00242,2026-04-29,23.34378,73.05896,6150a594aefecb38
PH000196,W00243,2025-10-06,27.36297,82.17521,f34decb2fabeaf2f
PH000197,W00245,2026-08-31,21.64165,75.55146,615e2679b6fe17d4
PH000198,W00246,2026-05-22,23.25119,72.98059,716f6ac4f2bb2684
PH000199,W00247,2025-03-18,26.54535,75.19755,7b926f624f3fa1b4
PH000200,W00248,2024-11-04,17.38819,82.91986,ab0b5df93205864b
PH000201,W00249,2024-07-10,27.54404,81.96736,c6ab59c35290b94c
PH000202,W00250,2024-07-05,27.42344,81.95628,c5b4690b90c14f66
PH000203,W00255,2024-05-14,27.8346,83.21884,9485fbb8f6c19a6f
PH000204,W00256,2026-02-14,16.34048,87.46432,cd3d9d13a43dccf7
PH000205,W00257,2024-01-18,21.78959,75.74802,bd4adfd976f9c64e
PH000206,W00258,2025-04-22,21.79446,75.51595,67695245dcaec6fd
PH000207,W00259,2024-11-22,27.92477,83.04322,8c7a3a162802b036
PH000208,W00260,2025-09-14,21.87959,72.73351,3f61fbffe6fe3c87
PH000209,W00261,2025-07-12,16.35737,87.62656,7f5dfb3b495458f8
PH000210,W00262,2025-06-18,16.48324,87.48238,cdd433aa8bd678e1
PH000211,W00264,2025-03-08,21.67359,75.57856,ca0ae345515a71ba
PH000212,W00265,2024-11-27,23.4662,73.07967,755f17f4eb8b0119
PH000213,W00266,2025-09-23,26.75045,75.25675,a6a70a3016507df3
PH000214,W00267,2026-07-03,20.59734,86.8248,7ff7af8b9a47d42e
PH000215,W00268,2024-03-06,27.85888,83.13115,ac792b1f6a3f4245
PH000216,W00269,2023-08-07,26.54019,84.53026,90a6621f82b1ea2d
PH000217,W00270,2024-07-14,24.60216,85.07733,f8ed5b30229759c3
PH000218,W00272,2024-10-13,23.3637,72.92975,a7bc01691316c3e3
PH000219,W00273,2025-12-18,17.36619,82.85652,ef72e1ad731037b3
PH000220,W00274,2025-08-22,21.53972,75.69265,e2a547669c3a96d3
PH000221,W00275,2025-06-02,23.40291,72.98099,4b1a88b841833438
PH000222,W00276,2023-11-23,21.90532,72.55289,c05a9ef6918b9e89
PH000223,W00277,2024-05-14,21.59462,75.77986,00834761b8b3773b
PH000224,W00278,2025-09-12,24.69305,85.30804,b7ce4f825bad07bd
PH000225,W00279,2025-11-13,24.79157,85.09344,ef9d686b143f5f4c
PH000226,W00280,2023-11-15,26.46691,79.03806,25fc6705dc6dbdac
PH000227,W00281,2025-09-28,28.00393,83.20308,c7a92c9afcb4e360
PH000228,W00282,2024-03-03,27.965,83.1841,a3fcdf4f2e8a102c
PH000229,W00283,2026-04-01,21.72847,75.69382,6e29e75a4d25f9fb
PH000230,W00284,2024-02-12,26.50796,78.90738,bacfcca354b67a57
PH000231,W00285,2024-08-15,27.29915,82.12242,ae607df83d60b1db
PH000232,W00286,2024-12-30,17.00917,79.08593,3e9a079f8331fced
PH000233,W00288,2025-08-28,21.64548,75.64836,c0b0828b84c3fade
PH000234,W00289,2023-10-20,22.03826,72.67856,1e982d63042c871f
PH000235,W00290,2024-04-09,21.73086,75.63363,0d635045496bdd17
PH000236,W00291,2026-06-24,27.75038,83.29138,9e4b562eba288680
PH000237,W00292,2024-11-17,17.25813,82.78329,439d20dbc7a9d298
PH000238,W00293,2024-01-09,17.44673,82.86266,698f02ac3846541e
PH000239,W00294,2025-02-26,26.62776,75.20707,fb5064a8f199e32f
PH000240,W00296,2024-12-06,24.60271,85.11569,45fe2be2f40cc10f
PH000241,W00297,2024-12-08,23.17991,73.12582,e40e15ae2e7ce75a
PH000242,W00298,2023-12-27,22.11164,72.82771,1ce8ce67d0b6fbc5
PH000243,W00300,2023-12-20,17.31883,83.04997,78a5c1c1776dcae7
PH000244,W00301,2026-05-15,21.65579,75.50441,1ab63ffc182501b8
PH000245,W00302,2024-11-22,16.89068,79.10027,75fb738cfd0e75cb
PH000246,W00303,2024-04-02,16.28938,87.62856,ed7567fd4f94eed5
PH000247,W00304,2025-09-06,16.52657,87.55952,041420d954364938
PH000248,W00305,2025-07-28,18.621967094883516,84.31387837503303,668f4d1ff07390b4
PH000249,W00306,2025-01-13,27.96742,83.19594,1d7431c13c074857
PH000250,W00307,2025-04-09,17.01977,79.32687,75c058713806c2bc
PH000251,W00308,2025-09-18,24.56922,85.16147,20b111f55b69eab8
PH000252,W00309,2024-05-27,26.38515,84.68571,4af8d674cbd5afcf
PH000253,W00311,2026-07-30,27.88558,83.26775,361168d630a8e65b
PH000254,W00312,2024-11-30,16.78474,79.06186,0755da5c6eed957f
PH000255,W00313,2025-11-20,29.57125,86.4034,06619fa29a2817db
PH000256,W00314,2025-04-01,16.43046,87.56265,28aa9d414c626941
PH000257,W00316,2025-06-05,17.25583,82.91218,0d31884ca5ccad18
PH000258,W00317,2023-09-29,23.38699,73.14597,7da0578b93046e85
PH000259,W00319,2025-03-11,27.54368,81.95639,ed0c029b509636d4
PH000260,W00320,2024-07-25,24.68838,85.22316,a32738fc1b76e855
PH000261,W00321,2025-10-15,26.38943,77.7877,2b7f8efe0dae1457
PH000262,W00322,2026-06-16,23.41553,72.93602,01836e3c13e84b50
PH000263,W00324,2025-12-12,21.97436,72.81695,101409cb331b3923
PH000264,W00325,2024-10-26,29.52354,86.31291,5af9649701519bd5
PH000265,W00326,2025-07-23,16.85103,79.07177,87c6ad084d483f5b
PH000266,W00327,2025-10-05,26.44944,84.53946,555b421941a9cbc1
PH000267,W00328,2024-07-22,16.39655,87.7255,fa6af36d95914372
PH000268,W00330,2026-03-18,24.70194,85.17039,2560cc0a7c14d36a
PH000269,W00331,2025-07-03,23.44284,73.04276,5755f91ba37d009b
PH000270,W00332,2026-04-27,26.48146,77.67732,f6a1e437bc44008d
PH000271,W00333,2026-04-02,16.398,87.68592,91d4479a44215721
PH000272,W00334,2024-03-14,16.33704,87.47762,60434c385e5410f8
PH000273,W00335,2026-05-24,23.41405,73.10959,3af47786d61358c9
PH000274,W00336,2025-05-16,16.42362,87.73595,06d5a695fc990567
PH000275,W00337,2025-11-25,16.94268,79.25139,e3d7055e0206049b
PH000276,W00338,2024-02-18,21.50978,75.53236,a642134674beae0b
PH000277,W00339,2026-05-21,23.28671,72.99912,5c76e5555b07154a
PH000278,W00341,2025-07-26,20.5405,86.88736,31f620dc480d27de
PH000279,W00342,2024-01-21,26.52829,78.95726,2f7f8773fc4bd9b2
PH000280,W00343,2024-09-17,24.71777,85.03596,258ad7b712cb8fa8
PH000281,W00344,2024-05-15,23.3085,72.9811,93ad115e9726cf0e
PH000282,W00346,2025-03-11,27.54084,82.03296,5f06406338b0ef8c
PH000283,W00347,2025-03-16,29.44759,86.19784,0e48f65eb9c51e8e
PH000284,W00349,2025-01-08,16.3916,87.52039,e2cea51a665d2cc9
PH000285,W00350,2026-02-09,23.32718,73.04787,7c8b1f62cd6bfd2c
PH000286,W00351,2024-09-19,20.43178,86.73492,bb4aec6553a2197a
PH000287,W00353,2024-01-18,27.38416,82.04922,461913dc0276febb
PH000288,W00354,2024-04-03,27.55063,82.00174,1503068bc6d4e89b
PH000289,W00355,2025-11-29,27.28895,82.0885,975d321f9092cbb8
PH000290,W00356,2024-01-28,23.29803,72.89358,eaeb4997eb2a946d
PH000291,W00357,2023-12-21,29.51855,86.3933,d59acd191260fb34
PH000292,W00358,2024-07-22,22.12941,72.56469,17caec7973906f9b
PH000293,W00360,2024-10-18,26.4917,78.98885,adb9d5a3823ba9e6
PH000294,W00361,2026-06-29,17.30933,82.85719,5a79359bdcc51aac
PH000295,W00364,2024-10-19,27.38544,82.14915,b075c2dacc669306
PH000296,W00365,2024-12-08,20.69023,86.83934,24224968d948ef91
PH000297,W00366,2024-06-26,16.36075,87.63808,819c3a939a7eeccb
PH000298,W00367,2025-03-28,26.43401,77.74291,ebb149bf0480ae25
PH000299,W00368,2026-03-31,21.67686,75.74774,314a97019bf8e02d
PH000300,W00369,2025-01-05,29.55692,86.38153,bf1ba4a855b59c6b
PH000301,W00370,2025-04-24,20.66843,86.89607,ec9686cbe87a3853
PH000302,W00371,2023-10-16,27.47192,82.08761,d93eaab8f9652b0b
PH000303,W00372,2024-12-08,21.87209,72.68392,42fd8d07fc559987
PH000304,W00373,2024-11-04,26.38484,77.65912,541401bb024c159d
PH000305,W00374,2024-11-18,29.68199,86.35995,057e728f688cdb08
PH000306,W00375,2026-06-16,21.99998,72.57375,463f7fd2f4f7ce9f
PH000307,W00376,2023-10-26,29.47134,86.37642,d28fca57003aa03f
PH000308,W00377,2026-03-24,29.62005,86.24852,fdb3852f4990c59c
PH000309,W00378,2024-09-12,27.31854,81.95965,e00c0aad96c80f58
PH000310,W00379,2025-05-24,16.78093,79.27833,7c8ddf0018599e8e
PH000311,W00380,2026-03-22,23.31158,73.02746,0f35e36b940382c2
PH000312,W00381,2025-02-16,21.55609,75.64546,8eb7d1c53fca0446
PH000313,W00382,2025-11-10,23.41301,73.08101,804b2d6d1d77c37c
PH000314,W00383,2026-01-07,23.18178,72.99678,954f1d48df6bc426
PH000315,W00384,2026-01-03,17.4364,82.84678,72ab89fed672400d
PH000316,W00385,2023-12-24,23.30249,73.04956,d6f0b9713c866c5e
PH000317,W00386,2026-01-01,23.26964,73.15379,d34e8ea98824a932
PH000318,W00387,2024-09-13,22.08502,72.8075,181556ed754499dc
PH000319,W00389,2026-03-05,21.50564,75.63899,a4257a551c4572ea
PH000320,W00390,2025-01-20,29.56857,86.3907,6afad20ff38674f8
PH000321,W00391,2024-05-02,17.43110191294027,89.05135738265962,8b91a535e43c13a6
PH000322,W00392,2026-04-01,17.29488,82.86716,ea80586c1d72a2fc
PH000323,W00393,2025-12-26,27.88367,83.10812,165b6785bf6d5dae
PH000324,W00395,2024-12-06,17.40369,82.99886,951c0981223a4ce4
PH000325,W00396,2025-04-22,16.37096,87.47722,3cc53f82c94f9d2b
PH000326,W00397,2024-11-11,26.58015,75.15124,640fa3f99f6b5385
PH000327,W00398,2024-03-11,21.76939,75.73545,494b40ead9387c82
PH000328,W00399,2026-02-10,17.25872,83.04188,88c310cef3d46fc0
PH000329,W00400,2026-02-03,27.55583,82.15189,fa69a3194692b313
PH000330,W00401,2026-02-09,26.39188,84.52576,67c1a63af0e9cf4e
PH000331,W00402,2026-05-22,24.70288,85.02876,192f7a6a01734a18
PH000332,W00403,2024-10-11,24.74272,85.08303,de2de5eab4d9575f
PH000333,W00405,2025-07-17,16.45015,87.59623,304e80442c2e9728
PH000334,W00406,2026-05-08,26.52957,84.46238,3ad74723f7676d6e
PH000335,W00407,2026-02-19,16.5166,87.67708,dd65d6a2b5c74b6f
PH000336,W00408,2024-04-02,16.915,79.20845,44cf2b8f69fa8a2a
PH000337,W00409,2023-12-28,21.95745,72.63437,d494747381f9c1e0
PH000338,W00410,2024-08-31,17.23842,83.00444,7d813a6ca1a3300a
PH000339,W00411,2024-04-11,29.60766,86.36219,be66e6f02706e12a
PH000340,W00412,2025-02-09,30.904417947868428,85.24862872499507,7d854ecc3aa72f74
PH000341,W00413,2026-05-22,26.732,79.06763,6cf892c7f5ba8443
PH000342,W00414,2026-01-04,27.31734,82.05738,7801147c3920506d
PH000343,W00415,2026-03-30,17.1997,83.07085,160e4bcbf7d3f6ea
PH000344,W00417,2024-06-10,17.24336,82.86047,d809ed79c0a308ee
PH000345,W00418,2024-01-05,23.23226,72.87219,626641697715a245
PH000346,W00420,2024-09-08,16.47283,87.73549,a2aebc509759ee1a
PH000347,W00421,2025-05-07,27.31045,82.04737,a3b2ad201db13369
PH000348,W00422,2024-01-23,21.72934,75.70287,d942f55291ddfdd8
PH000349,W00423,2024-12-20,17.36393,82.89795,7afef833dc07f913
PH000350,W00425,2025-06-08,23.33936,72.93312,3af9e1cbbe8352b1
PH000351,W00426,2026-02-19,16.36379,87.69743,282af419306f80b0
PH000352,W00427,2024-10-12,16.48465,87.66506,de45d5fb7f30d8bd
PH000353,W00429,2024-10-28,26.75632,78.89491,fdfefac770e592ed
PH000354,W00431,2026-05-05,26.3982,84.45344,0107aa9151279432
PH000355,W00432,2026-08-02,26.44575,77.56565,a971e6c8002dd31a
PH000356,W00433,2024-08-14,23.4198,73.10044,f61fbbbdd400cea5
PH000357,W00434,2025-02-07,16.39301,87.6308,381a9e67ba6ad18b
PH000358,W00435,2024-12-01,16.42961,87.67717,bad19932850970f2
PH000359,W00436,2026-06-16,24.68527,85.10714,58e94f9dd33ccef1
PH000360,W00437,2026-02-14,27.52487,82.0817,902745b3a199e18a
PH000361,W00438,2024-11-25,27.32472,82.17527,6ec584f549378fb6
PH000362,W00440,2025-07-10,23.35807,73.0014,a887339cf3e660bb
PH000363,W00441,2025-11-02,17.20816,82.95713,c78cfa2625ee7f74
PH000364,W00442,2026-02-27,21.58592,75.61709,be38ca205a57351d
PH000365,W00443,2025-11-08,16.82546,79.31842,eb9e9b61a31b0c8a
PH000366,W00444,2026-06-27,29.69044,86.23862,ec0f165477033d29
PH000367,W00445,2026-07-07,24.65373,85.11874,9800d635add947ad
PH000368,W00446,2025-09-22,16.81848,79.16406,5a08e16747f30ec6
PH000369,W00447,2026-06-01,17.40393,82.95946,ac923671994409f0
PH000370,W00448,2026-03-23,23.42184,72.94327,431462e215963299
